날짜,온도
21. 6. 7 오전 6:30,18.9
21. 6. 7 오전 6:45,18.9
21. 6. 7 오전 7:00,19.0
21. 6. 7 오전 7:15,19.0
21. 6. 7 오전 7:30,19.2
21. 6. 7 오전 7:45,19.25
21. 6. 7 오전 8:00,19.3
21. 6. 7 오전 8:15,19.3
21. 6. 7 오전 8:30,19.35
21. 6. 7 오전 8:45,19.4
21. 6. 7 오전 9:00,19.5
21. 6. 7 오전 9:15,19.6
21. 6. 7 오전 9:30,19.6
21. 6. 7 오전 9:45,19.7
21. 6. 7 오전 10:00,19.8
21. 6. 7 오전 10:15,19.8
21. 6. 7 오전 10:30,19.8
21. 6. 7 오전 10:45,19.9
21. 6. 7 오전 11:00,19.9
21. 6. 7 오전 11:15,20.0
21. 6. 7 오전 11:30,20.0
21. 6. 7 오전 11:45,19.9
21. 6. 7 오후 12:00,20.0
21. 6. 7 오후 12:15,20.1
21. 6. 7 오후 12:30,20.2
21. 6. 7 오후 12:45,20.2
21. 6. 7 오후 1:00,20.3
21. 6. 7 오후 1:15,21.3
21. 6. 7 오후 1:30,21.3
21. 6. 7 오후 1:45,22.0
21. 6. 7 오후 2:00,22.5
21. 6. 7 오후 2:15,22.1
21. 6. 7 오후 2:30,22.4
21. 6. 7 오후 2:45,22.8
21. 6. 7 오후 3:00,22.6
21. 6. 7 오후 3:15,22.4
21. 6. 7 오후 3:30,22.2
21. 6. 7 오후 3:45,22.6
21. 6. 7 오후 4:00,22.4
21. 6. 7 오후 4:15,22.0
21. 6. 7 오후 4:30,22.1
21. 6. 7 오후 4:45,22.3
21. 6. 7 오후 5:00,22.1
21. 6. 7 오후 5:15,22.0
21. 6. 7 오후 5:30,21.9
21. 6. 7 오후 5:45,21.8
21. 6. 7 오후 6:00,21.9
21. 6. 7 오후 6:15,21.9
21. 6. 7 오후 6:30,21.9
21. 6. 7 오후 6:45,21.9
21. 6. 7 오후 7:00,21.7
21. 6. 7 오후 7:15,21.6
21. 6. 7 오후 7:30,21.6
21. 6. 7 오후 7:45,21.6
21. 6. 7 오후 8:00,21.6
21. 6. 7 오후 8:15,21.5
21. 6. 7 오후 8:30,21.5
21. 6. 7 오후 8:45,20.9
21. 6. 7 오후 9:00,20.8
21. 6. 7 오후 9:15,20.7
21. 6. 7 오후 9:30,20.2
21. 6. 7 오후 9:45,19.0
21. 6. 7 오후 10:00,19.0
21. 6. 7 오후 10:15,18.9
21. 6. 7 오후 10:30,18.8
21. 6. 7 오후 10:45,19.1
21. 6. 7 오후 11:00,19.25
21. 6. 7 오후 11:15,19.4
21. 6. 7 오후 11:30,19.8
21. 6. 7 오후 11:45,20.0
21. 6. 8 오전 12:00,20.2
21. 6. 8 오전 12:15,19.7
21. 6. 8 오전 12:30,19.8
21. 6. 8 오전 12:45,19.8
21. 6. 8 오전 1:00,19.7
21. 6. 8 오전 1:15,19.7
21. 6. 8 오전 1:30,19.5
21. 6. 8 오전 1:45,19.2
21. 6. 8 오전 2:00,19.4
21. 6. 8 오전 2:15,19.5
21. 6. 8 오전 2:30,19.7
21. 6. 8 오전 2:45,19.8
21. 6. 8 오전 3:00,19.8
21. 6. 8 오전 3:15,20.0
21. 6. 8 오전 3:30,20.0
21. 6. 8 오전 3:45,19.8
21. 6. 8 오전 4:00,19.8
21. 6. 8 오전 4:15,19.6
21. 6. 8 오전 4:30,19.4
21. 6. 8 오전 4:45,19.4
21. 6. 8 오전 5:00,19.6
21. 6. 8 오전 5:15,19.6
21. 6. 8 오전 5:30,19.6
21. 6. 8 오전 5:45,19.5
21. 6. 8 오전 6:00,19.0
21. 6. 8 오전 6:15,18.7
21. 6. 8 오전 6:30,18.8
21. 6. 8 오전 6:45,19.0
21. 6. 8 오전 7:00,19.4
21. 6. 8 오전 7:15,19.65
21. 6. 8 오전 7:30,19.9
21. 6. 8 오전 7:45,20.3
21. 6. 8 오전 8:00,20.7
21. 6. 8 오전 8:15,20.9
21. 6. 8 오전 8:30,21.3
21. 6. 8 오전 8:45,21.7
21. 6. 8 오전 9:00,22.8
21. 6. 8 오전 9:15,21.0
21. 6. 8 오전 9:30,20.4
21. 6. 8 오전 9:45,20.8
21. 6. 8 오전 10:00,21.2
21. 6. 8 오전 10:15,21.3
21. 6. 8 오전 10:30,21.3
21. 6. 8 오전 10:45,21.0
21. 6. 8 오전 11:00,21.3
21. 6. 8 오전 11:15,21.0
21. 6. 8 오전 11:30,21.0
21. 6. 8 오전 11:45,21.2
21. 6. 8 오후 12:00,21.8
21. 6. 8 오후 12:15,21.5
21. 6. 8 오후 12:30,21.5
21. 6. 8 오후 12:45,21.6
21. 6. 8 오후 1:00,21.9
21. 6. 8 오후 1:15,22.3
21. 6. 8 오후 1:30,22.3
21. 6. 8 오후 1:45,22.6
21. 6. 8 오후 2:00,22.1
21. 6. 8 오후 2:15,22.15
21. 6. 8 오후 2:30,22.2
21. 6. 8 오후 2:45,21.8
21. 6. 8 오후 3:00,22.1
21. 6. 8 오후 3:15,22.4
